Algorithm,Size,Type,Time(ms)
Merge,100000,Sorted,225.90729990042746
Quick,100000,Sorted,194.48269996792078
Heap,100000,Sorted,552.3461999837309
3-Way Merge,100000,Sorted,293.09940012171865
Timsort,100000,Sorted,10.047700023278594
Merge,100000,Reverse,257.2478000074625
Quick,100000,Reverse,182.5189001392573
Heap,100000,Reverse,470.71109991520643
3-Way Merge,100000,Reverse,299.69590017572045
Timsort,100000,Reverse,13.854799792170525
Merge,100000,AlmostSorted,319.0399999730289
Quick,100000,AlmostSorted,188.8363000471145
Heap,100000,AlmostSorted,538.6079999152571
3-Way Merge,100000,AlmostSorted,349.8484999872744
Timsort,100000,AlmostSorted,201.15290000103414
Merge,100000,FewUnique,335.854500066489
Quick,100000,FewUnique,34.982499899342656
Heap,100000,FewUnique,456.7022998817265
3-Way Merge,100000,FewUnique,383.94999993033707
Timsort,100000,FewUnique,277.88649988360703
Merge,100000,RandomFloat,365.66770006902516
Quick,100000,RandomFloat,324.1107000503689
Heap,100000,RandomFloat,597.7285001426935
3-Way Merge,100000,RandomFloat,415.74539989233017
Timsort,100000,RandomFloat,280.8532000053674
Merge,100000,SortedFloat,246.87010003253818
Quick,100000,SortedFloat,210.88370005600154
Heap,100000,SortedFloat,555.3211001679301
3-Way Merge,100000,SortedFloat,308.61730012111366
Timsort,100000,SortedFloat,13.409500010311604
Merge,100000,ReverseFloat,255.4482000414282
Quick,100000,ReverseFloat,230.3434000350535
Heap,100000,ReverseFloat,517.275899881497
3-Way Merge,100000,ReverseFloat,297.7468001190573
Timsort,100000,ReverseFloat,19.92770005017519
Merge,100000,RandomString,414.7322999779135
Quick,100000,RandomString,466.3847000338137
Heap,100000,RandomString,692.8938999772072
3-Way Merge,100000,RandomString,465.583500219509
Timsort,100000,RandomString,327.1898999810219
Merge,100000,SortedString,266.4771000854671
Quick,100000,SortedString,301.8440001178533
Heap,100000,SortedString,639.9531001225114
3-Way Merge,100000,SortedString,341.339300153777
Timsort,100000,SortedString,21.28449990414083
Merge,100000,ReverseString,250.78619993291795
Quick,100000,ReverseString,335.0543000269681
Heap,100000,ReverseString,602.4605000857264
3-Way Merge,100000,ReverseString,377.50159995630383
Timsort,100000,ReverseString,176.91839998587966
